id,Title,ReleaseDate,Rating,NumberofReviews,Plays,year,game_type,score
750,The Dark Pictures Anthology: The Devil in Me,"Nov 18, 2022",2.9,15129.0,110224.0,2022,new,Good
751,Donkey Kong Country: Tropical Freeze,"May 04, 2018",4.2,139129.0,4.41,2018,new,Amazing
771,World of Warcraft,"Nov 23, 2004",3.5,136161.0,20.25,2004,new,Great
772,The Legend of Heroes: Trails of Cold Steel II,"Sep 25, 2014",3.7,160801.0,2.89,2014,new,Great
773,Gang Beasts,"Dec 12, 2017",3.1,42849.0,10.24,2017,new,Great
774,Armored Core 3,"Apr 01, 2002",3.7,13225.0,88209.0,2002,new,Great
775,Star Wars: The Force Unleashed II,"Oct 26, 2010",2.8,58564.0,16.81,2010,new,Good
842,Fortnite,"Jul 25, 2017",2.8,683929.0,289.0,2017,new,Good
843,Fall Guys,"Aug 04, 2020",3.0,763876.0,256.0,2020,new,Good
844,It Takes Two,"Mar 25, 2021",4.2,1.69,65.61,2021,new,Amazing
845,BioShock,"Aug 21, 2007",4.0,3.24,289.0,2007,new,Great
846,Metal Gear Solid,"Sep 03, 1998",4.2,3.61,144.0,1998,retro,Amazing
847,Yakuza: Like a Dragon,"Jan 16, 2020",4.3,2.56,36.0,2020,new,Amazing
848,Animal Crossing: New Horizons,"Mar 19, 2020",3.6,2.56,400.0,2020,new,Great
849,BioShock Infinite,"Feb 26, 2013",3.5,2.25,324.0,2013,new,Great
912,Mirror's Edge,"Nov 11, 2008",3.5,620944.0,144.0,2008,new,Great
913,Bayonetta 2,"Sep 20, 2014",4.1,1.21,36.0,2014,new,Amazing
914,Sonic Generations,"Nov 01, 2011",3.8,1.21,98.01,2011,new,Great
915,Shin Megami Tensei: Nocturne,"Feb 20, 2003",4.2,1.21,16.81,2003,new,Amazing
916,Death's Door,"Jul 20, 2021",3.8,544644.0,10.89,2021,new,Great
917,Devil May Cry 3: Dante's Awakening - Special Edition,"Jan 24, 2006",4.4,725904.0,42.25,2006,new,Amazing
918,Assassin's Creed IV Black Flag,"Oct 29, 2013",3.7,1.44,169.0,2013,new,Great
920,Crisis Core: Final Fantasy VII - Reunion,"Dec 13, 2022",3.8,167281.0,1.69,2022,new,Great
921,Metroid Prime,"Nov 17, 2002",4.3,1.96,46.24,2002,new,Amazing
923,Metal Gear Solid 4: Guns of the Patriots,"Jun 12, 2008",3.9,1.44,59.29,2008,new,Great
924,Atomic Heart,"Feb 21, 2023",3.0,131769.0,966289.0,2023,new,Good
926,Resident Evil 5,"Mar 05, 2009",3.1,1.0,100.0,2009,new,Great
927,The World Ends with You,"Jul 26, 2007",4.2,1.0,27.04,2007,new,Amazing
928,A Hat in Time,"Oct 05, 2017",4.0,806404.0,51.84,2017,new,Great
929,Scorn,"Oct 14, 2022",3.0,121104.0,1.96,2022,new,Good
930,Fire Emblem: Awakening,"Apr 19, 2012",3.8,1.44,90.25,2012,new,Great
931,Cuphead: The Delicious Last Course,"Jun 30, 2022",4.3,158404.0,4.84,2022,new,Amazing
932,Ori and the Will of the Wisps,"Mar 10, 2020",4.3,1.44,36.0,2020,new,Amazing
933,Mass Effect,"Nov 20, 2007",3.8,1.0,100.0,2007,new,Great
934,Return of the Obra Dinn,"Oct 18, 2018",4.3,1.0,22.09,2018,new,Amazing
935,Kingdom Hearts III,"Jan 25, 2019",3.5,1.21,65.61,2019,new,Great
936,Fallout 3,"Oct 28, 2008",3.4,799236.0,144.0,2008,new,Great
937,Uncharted: Drake's Fortune,"Nov 16, 2007",3.1,777924.0,144.0,2007,new,Great
938,"Zero Escape: Nine Hours, Nine Persons, Nine Doors","Dec 10, 2009",4.2,900601.0,37.21,2009,new,Amazing
939,Lost Judgment,"Sep 24, 2021",4.3,624100.0,2.89,2021,new,Amazing
940,Super Mario 3D Land,"Nov 03, 2011",3.5,1.0,144.0,2011,new,Great
941,Gris,"Dec 13, 2018",3.6,829921.0,43.56,2018,new,Great
942,Silent Hill 3,"May 23, 2003",4.2,1.21,24.01,2003,new,Amazing
943,Call of Duty: Modern Warfare 2,"Nov 10, 2009",3.8,1.0,196.0,2009,new,Great
944,The Walking Dead: Season One,"Apr 24, 2012",4.0,1.44,144.0,2012,new,Great
945,Mario Kart DS,"Nov 14, 2005",3.8,734449.0,225.0,2005,new,Great
946,Apex Legends,"Feb 04, 2019",3.1,389376.0,144.0,2019,new,Great
947,Devil May Cry 2,"Jan 25, 2003",1.6,384400.0,40.96,2003,new,Okay
948,The Legend of Zelda: Ocarina of Time 3D,"Jun 16, 2011",4.2,1.0,121.0,2011,new,Amazing
949,Twelve Minutes,"Aug 19, 2021",2.4,276676.0,16.0,2021,new,Good
952,Rayman Legends,"Aug 30, 2013",4.0,848241.0,96.04,2013,new,Great
953,Uncharted 2: Among Thieves,"Oct 13, 2009",3.9,1.96,144.0,2009,new,Great
954,Monster Hunter: World,"Jan 26, 2018",3.8,732736.0,100.0,2018,new,Great
955,Milk inside a bag of milk inside a bag of milk,"Aug 26, 2020",3.3,253009.0,10.24,2020,new,Great
956,The Legend of Zelda: A Link Between Worlds,"Nov 22, 2013",4.1,1.69,100.0,2013,new,Amazing
957,Final Fantasy XIV: Endwalker,"Dec 07, 2021",4.6,181476.0,6.25,2021,new,Amazing
958,The Legend of Zelda: The Minish Cap,"Nov 04, 2004",3.9,1.21,75.69,2004,new,Great
959,Pokémon Go,"Jul 06, 2016",2.7,160000.0,196.0,2016,new,Good
960,Night in the Woods,"Feb 21, 2017",4.0,1.21,36.0,2017,new,Great
961,Shin Megami Tensei IV,"May 23, 2013",4.1,900601.0,18.49,2013,new,Amazing
962,Kingdom Hearts II,"Dec 22, 2005",4.3,1.44,92.16,2005,new,Amazing
963,Castlevania: Aria of Sorrow,"May 06, 2003",4.2,1.0,26.01,2003,new,Amazing
964,Halo: Reach,"Sep 14, 2010",4.0,1.44,121.0,2010,new,Great
965,Grand Theft Auto: Vice City,"Oct 27, 2002",3.8,1.0,144.0,2002,new,Great
966,A Short Hike,"Jul 30, 2019",4.1,1.21,29.16,2019,new,Amazing
972,The Legend of Zelda: Tears of the Kingdom,"May 12, 2023",,337561.0,5184.0,2023,new,
973,Assassin's Creed III,"Oct 30, 2012",3.0,499849.0,144.0,2012,new,Good
974,Castlevania,"Sep 26, 1986",3.4,714025.0,32.49,1986,retro,Great
975,Milk outside a bag of milk outside a bag of milk,"Dec 16, 2021",3.7,118336.0,2.25,2021,new,Great
976,Lisa,"Dec 15, 2014",4.3,579121.0,8.41,2014,new,Amazing
977,Crash Bandicoot,"Sep 09, 1996",3.5,435600.0,75.69,1996,retro,Great
978,The Legend of Zelda: The Wind Waker HD,"Sep 26, 2013",4.3,786769.0,44.89,2013,new,Amazing
979,The Outer Worlds,"Oct 25, 2019",3.2,338724.0,43.56,2019,new,Great
980,The Legend of Zelda: Majora's Mask 3D,"Feb 12, 2015",4.1,635209.0,44.89,2015,new,Amazing
